feature,coefficient,absolute_coefficient
gpa,3.1970887426408034,3.1970887426408034
academic_strength,2.8985153700785387,2.8985153700785387
attendance_rate,2.1599271530644955,2.1599271530644955
study_hours_per_week,1.2416176375019006,1.2416176375019006
work_study_balance,1.061364588717639,1.061364588717639
exam_score,0.9963807407680427,0.9963807407680427
study_efficiency,-0.44292429851784076,0.44292429851784076
income_per_study_hour,-0.3476992119722136,0.3476992119722136
part_time_job_hours,-0.18068423012926738,0.18068423012926738
household_income,0.14556774517509982,0.14556774517509982
