model,params,threshold,validation_accuracy,validation_precision,validation_recall,validation_f1,feature_count
Decision Tree,"{""max_depth"": 4, ""min_samples_split"": 5, ""random_state"": 42}",0.5,0.88,0.85,0.85,0.85,10
Decision Tree,"{""max_depth"": 3, ""min_samples_split"": 5, ""random_state"": 42}",0.5,0.86,0.8421052631578947,0.8,0.8205128205128205,10
Decision Tree,"{""max_depth"": 5, ""min_samples_split"": 8, ""random_state"": 42}",0.5,0.86,0.8421052631578947,0.8,0.8205128205128205,10
KNN,"{""k"": 9, ""weighted"": true}",0.5,0.92,0.8636363636363636,0.95,0.9047619047619048,10
KNN,"{""k"": 7, ""weighted"": false}",0.5,0.9,0.8571428571428571,0.9,0.8780487804878048,10
KNN,"{""k"": 3, ""weighted"": false}",0.5,0.88,0.8181818181818182,0.9,0.8571428571428572,10
KNN,"{""k"": 5, ""weighted"": false}",0.5,0.86,0.782608695652174,0.9,0.8372093023255814,10
Logistic Regression,"{""l2"": 0.0, ""learning_rate"": 0.03, ""n_iterations"": 5000}",0.55,0.98,0.9523809523809523,1.0,0.975609756097561,10
Logistic Regression,"{""l2"": 0.0, ""learning_rate"": 0.03, ""n_iterations"": 5000}",0.6,0.98,0.9523809523809523,1.0,0.975609756097561,10
Logistic Regression,"{""l2"": 0.01, ""learning_rate"": 0.05, ""n_iterations"": 6000}",0.55,0.98,0.9523809523809523,1.0,0.975609756097561,10
Logistic Regression,"{""l2"": 0.01, ""learning_rate"": 0.05, ""n_iterations"": 6000}",0.6,0.98,0.9523809523809523,1.0,0.975609756097561,10
Logistic Regression,"{""l2"": 0.05, ""learning_rate"": 0.08, ""n_iterations"": 7000}",0.5,0.98,0.9523809523809523,1.0,0.975609756097561,10
Logistic Regression,"{""l2"": 0.05, ""learning_rate"": 0.08, ""n_iterations"": 7000}",0.55,0.98,0.9523809523809523,1.0,0.975609756097561,10
Logistic Regression,"{""l2"": 0.05, ""learning_rate"": 0.08, ""n_iterations"": 7000}",0.6,0.98,0.9523809523809523,1.0,0.975609756097561,10
Logistic Regression,"{""l2"": 0.0, ""learning_rate"": 0.03, ""n_iterations"": 5000}",0.45,0.96,0.9090909090909091,1.0,0.9523809523809523,10
Logistic Regression,"{""l2"": 0.0, ""learning_rate"": 0.03, ""n_iterations"": 5000}",0.5,0.96,0.9090909090909091,1.0,0.9523809523809523,10
Logistic Regression,"{""l2"": 0.01, ""learning_rate"": 0.05, ""n_iterations"": 6000}",0.4,0.96,0.9090909090909091,1.0,0.9523809523809523,10
Logistic Regression,"{""l2"": 0.01, ""learning_rate"": 0.05, ""n_iterations"": 6000}",0.45,0.96,0.9090909090909091,1.0,0.9523809523809523,10
Logistic Regression,"{""l2"": 0.01, ""learning_rate"": 0.05, ""n_iterations"": 6000}",0.5,0.96,0.9090909090909091,1.0,0.9523809523809523,10
Logistic Regression,"{""l2"": 0.05, ""learning_rate"": 0.08, ""n_iterations"": 7000}",0.4,0.96,0.9090909090909091,1.0,0.9523809523809523,10
Logistic Regression,"{""l2"": 0.05, ""learning_rate"": 0.08, ""n_iterations"": 7000}",0.45,0.96,0.9090909090909091,1.0,0.9523809523809523,10
Logistic Regression,"{""l2"": 0.0, ""learning_rate"": 0.03, ""n_iterations"": 5000}",0.35,0.94,0.8695652173913043,1.0,0.9302325581395349,10
Logistic Regression,"{""l2"": 0.0, ""learning_rate"": 0.03, ""n_iterations"": 5000}",0.4,0.94,0.8695652173913043,1.0,0.9302325581395349,10
Logistic Regression,"{""l2"": 0.01, ""learning_rate"": 0.05, ""n_iterations"": 6000}",0.35,0.94,0.8695652173913043,1.0,0.9302325581395349,10
Logistic Regression,"{""l2"": 0.05, ""learning_rate"": 0.08, ""n_iterations"": 7000}",0.35,0.94,0.8695652173913043,1.0,0.9302325581395349,10
Random Forest,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_split"": 5, ""n_estimators"": 25, ""random_state"": 42, ""sample_ratio"": 1.0}",0.5,0.96,0.95,0.95,0.9500000000000001,10
Random Forest,"{""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_split"": 8, ""n_estimators"": 31, ""random_state"": 42, ""sample_ratio"": 1.0}",0.5,0.94,0.9047619047619048,0.95,0.9268292682926829,10
Random Forest,"{""max_depth"": 4, ""max_features"": ""sqrt"", ""min_samples_split"": 5, ""n_estimators"": 15, ""random_state"": 42, ""sample_ratio"": 1.0}",0.5,0.92,0.9,0.9,0.9,10
